{'epoch': 1, 'train_loss': 0.02502, 'eval_loss': 0.00962, 'scores': {'psnr': 28.98484, 'ssim': 0.52435, 'scc': 0.015, 'sam': 0.06441}, 'train_time': 5.41033, 'eval_time': 0.47807}
{'epoch': 2, 'train_loss': 0.012, 'eval_loss': 0.00727, 'scores': {'psnr': 29.37288, 'ssim': 0.57476, 'scc': 0.03856, 'sam': 0.05925}, 'train_time': 5.02004, 'eval_time': 0.46154}
{'epoch': 3, 'train_loss': 0.01043, 'eval_loss': 0.00783, 'scores': {'psnr': 28.69389, 'ssim': 0.60399, 'scc': 0.06249, 'sam': 0.05836}, 'train_time': 5.13691, 'eval_time': 0.48797}
{'epoch': 4, 'train_loss': 0.00934, 'eval_loss': 0.01295, 'scores': {'psnr': 27.98838, 'ssim': 0.59063, 'scc': 0.07011, 'sam': 0.05767}, 'train_time': 5.06929, 'eval_time': 0.44982}
{'epoch': 5, 'train_loss': 0.00852, 'eval_loss': 0.00647, 'scores': {'psnr': 28.59618, 'ssim': 0.64733, 'scc': 0.08162, 'sam': 0.05825}, 'train_time': 5.09029, 'eval_time': 0.48333}
{'epoch': 6, 'train_loss': 0.0084, 'eval_loss': 0.00514, 'scores': {'psnr': 29.30527, 'ssim': 0.65869, 'scc': 0.10162, 'sam': 0.05671}, 'train_time': 5.06103, 'eval_time': 0.48434}
{'epoch': 7, 'train_loss': 0.00759, 'eval_loss': 0.00491, 'scores': {'psnr': 29.30223, 'ssim': 0.69546, 'scc': 0.12476, 'sam': 0.05875}, 'train_time': 5.07993, 'eval_time': 0.47881}
{'epoch': 8, 'train_loss': 0.00734, 'eval_loss': 0.00464, 'scores': {'psnr': 29.31327, 'ssim': 0.71231, 'scc': 0.14628, 'sam': 0.05592}, 'train_time': 5.086, 'eval_time': 0.48769}
{'epoch': 9, 'train_loss': 0.00705, 'eval_loss': 0.00676, 'scores': {'psnr': 28.34212, 'ssim': 0.71421, 'scc': 0.15122, 'sam': 0.05739}, 'train_time': 5.21194, 'eval_time': 0.48607}
{'epoch': 10, 'train_loss': 0.00707, 'eval_loss': 0.00428, 'scores': {'psnr': 29.95151, 'ssim': 0.73029, 'scc': 0.15932, 'sam': 0.05786}, 'train_time': 5.07405, 'eval_time': 0.47706}
{'epoch': 11, 'train_loss': 0.00642, 'eval_loss': 0.00735, 'scores': {'psnr': 28.31642, 'ssim': 0.73049, 'scc': 0.18674, 'sam': 0.05642}, 'train_time': 5.06197, 'eval_time': 0.48638}
{'epoch': 12, 'train_loss': 0.00631, 'eval_loss': 0.0156, 'scores': {'psnr': 27.75719, 'ssim': 0.71475, 'scc': 0.17886, 'sam': 0.05925}, 'train_time': 5.07314, 'eval_time': 0.50434}
{'epoch': 13, 'train_loss': 0.00604, 'eval_loss': 0.00377, 'scores': {'psnr': 29.8835, 'ssim': 0.75264, 'scc': 0.2029, 'sam': 0.0579}, 'train_time': 5.07711, 'eval_time': 0.47187}
{'epoch': 14, 'train_loss': 0.00607, 'eval_loss': 0.00393, 'scores': {'psnr': 29.44509, 'ssim': 0.75062, 'scc': 0.20577, 'sam': 0.05886}, 'train_time': 5.08144, 'eval_time': 0.46883}
