{'epoch': 1, 'train_loss': 0.9902, 'eval_loss': 0.17504, 'scores': {'psnr': 28.15225, 'ssim': 0.37445, 'scc': 0.00765, 'sam': 0.07615}, 'train_time': 9.32129, 'eval_time': 0.46196}
{'epoch': 2, 'train_loss': 0.1108, 'eval_loss': 0.04828, 'scores': {'psnr': 28.2114, 'ssim': 0.41437, 'scc': 0.0034, 'sam': 0.06208}, 'train_time': 8.7505, 'eval_time': 0.46795}
{'epoch': 3, 'train_loss': 0.05452, 'eval_loss': 0.04044, 'scores': {'psnr': 28.32693, 'ssim': 0.41004, 'scc': 0.00528, 'sam': 0.0593}, 'train_time': 8.59149, 'eval_time': 0.45162}
{'epoch': 4, 'train_loss': 0.05147, 'eval_loss': 0.0309, 'scores': {'psnr': 28.25975, 'ssim': 0.40526, 'scc': 0.00726, 'sam': 0.06097}, 'train_time': 8.56587, 'eval_time': 0.48705}
{'epoch': 5, 'train_loss': 0.04463, 'eval_loss': 0.0306, 'scores': {'psnr': 28.35532, 'ssim': 0.41187, 'scc': 0.01071, 'sam': 0.05881}, 'train_time': 8.511, 'eval_time': 0.4914}
{'epoch': 6, 'train_loss': 0.04134, 'eval_loss': 0.02629, 'scores': {'psnr': 28.38225, 'ssim': 0.41369, 'scc': 0.00637, 'sam': 0.05975}, 'train_time': 8.49409, 'eval_time': 0.49145}
{'epoch': 7, 'train_loss': 0.03744, 'eval_loss': 0.02815, 'scores': {'psnr': 28.3148, 'ssim': 0.40985, 'scc': 0.00674, 'sam': 0.05754}, 'train_time': 8.46239, 'eval_time': 0.48292}
{'epoch': 8, 'train_loss': 0.03819, 'eval_loss': 0.02747, 'scores': {'psnr': 28.27918, 'ssim': 0.41342, 'scc': 0.00848, 'sam': 0.06076}, 'train_time': 8.53261, 'eval_time': 0.46324}
{'epoch': 9, 'train_loss': 0.03626, 'eval_loss': 0.02487, 'scores': {'psnr': 28.18964, 'ssim': 0.40836, 'scc': 0.00766, 'sam': 0.0602}, 'train_time': 8.73415, 'eval_time': 0.49768}
{'epoch': 10, 'train_loss': 0.03493, 'eval_loss': 0.02344, 'scores': {'psnr': 28.1884, 'ssim': 0.42649, 'scc': 0.00768, 'sam': 0.05738}, 'train_time': 8.60038, 'eval_time': 0.46943}
{'epoch': 11, 'train_loss': 0.03199, 'eval_loss': 0.02288, 'scores': {'psnr': 28.29038, 'ssim': 0.42679, 'scc': 0.00653, 'sam': 0.06111}, 'train_time': 8.49387, 'eval_time': 0.45658}
{'epoch': 12, 'train_loss': 0.03481, 'eval_loss': 0.03044, 'scores': {'psnr': 27.95604, 'ssim': 0.4119, 'scc': 0.0026, 'sam': 0.05962}, 'train_time': 8.49861, 'eval_time': 0.47851}
{'epoch': 13, 'train_loss': 0.03406, 'eval_loss': 0.02232, 'scores': {'psnr': 28.34038, 'ssim': 0.42664, 'scc': 0.00091, 'sam': 0.05954}, 'train_time': 8.49277, 'eval_time': 0.47093}
{'epoch': 14, 'train_loss': 0.03072, 'eval_loss': 0.01969, 'scores': {'psnr': 28.39343, 'ssim': 0.41647, 'scc': 0.00426, 'sam': 0.05806}, 'train_time': 8.51166, 'eval_time': 0.4611}
{'epoch': 15, 'train_loss': 0.03025, 'eval_loss': 0.02291, 'scores': {'psnr': 28.18767, 'ssim': 0.42608, 'scc': 0.00645, 'sam': 0.05658}, 'train_time': 8.49671, 'eval_time': 0.45474}
{'epoch': 16, 'train_loss': 0.02932, 'eval_loss': 0.02103, 'scores': {'psnr': 28.35988, 'ssim': 0.4266, 'scc': 0.01062, 'sam': 0.05876}, 'train_time': 8.50886, 'eval_time': 0.47458}
{'epoch': 17, 'train_loss': 0.02751, 'eval_loss': 0.02083, 'scores': {'psnr': 28.41885, 'ssim': 0.435, 'scc': 0.00632, 'sam': 0.05666}, 'train_time': 8.4997, 'eval_time': 0.4658}
{'epoch': 18, 'train_loss': 0.02748, 'eval_loss': 0.01907, 'scores': {'psnr': 28.46153, 'ssim': 0.43296, 'scc': 0.00462, 'sam': 0.05809}, 'train_time': 8.51351, 'eval_time': 0.47295}
{'epoch': 19, 'train_loss': 0.02691, 'eval_loss': 0.01933, 'scores': {'psnr': 28.48679, 'ssim': 0.44095, 'scc': 0.00716, 'sam': 0.05552}, 'train_time': 8.51197, 'eval_time': 0.46964}
{'epoch': 20, 'train_loss': 0.02693, 'eval_loss': 0.02019, 'scores': {'psnr': 28.55014, 'ssim': 0.43995, 'scc': 0.00609, 'sam': 0.05584}, 'train_time': 8.51499, 'eval_time': 0.47172}
{'epoch': 21, 'train_loss': 0.02598, 'eval_loss': 0.01804, 'scores': {'psnr': 28.49063, 'ssim': 0.44611, 'scc': 0.00564, 'sam': 0.05626}, 'train_time': 8.51571, 'eval_time': 0.47026}
{'epoch': 22, 'train_loss': 0.02412, 'eval_loss': 0.02135, 'scores': {'psnr': 28.42763, 'ssim': 0.44522, 'scc': 0.00407, 'sam': 0.05841}, 'train_time': 8.49906, 'eval_time': 0.4747}
{'epoch': 23, 'train_loss': 0.02437, 'eval_loss': 0.01789, 'scores': {'psnr': 28.46171, 'ssim': 0.45587, 'scc': 0.00611, 'sam': 0.05937}, 'train_time': 8.51397, 'eval_time': 0.46476}
{'epoch': 24, 'train_loss': 0.0234, 'eval_loss': 0.01834, 'scores': {'psnr': 28.52044, 'ssim': 0.45676, 'scc': 0.00684, 'sam': 0.05795}, 'train_time': 8.52457, 'eval_time': 0.47489}
{'epoch': 25, 'train_loss': 0.02305, 'eval_loss': 0.01717, 'scores': {'psnr': 28.4018, 'ssim': 0.44876, 'scc': 0.00619, 'sam': 0.05552}, 'train_time': 8.53, 'eval_time': 0.47397}
{'epoch': 26, 'train_loss': 0.02333, 'eval_loss': 0.0199, 'scores': {'psnr': 28.44775, 'ssim': 0.46147, 'scc': 0.00575, 'sam': 0.05484}, 'train_time': 8.49993, 'eval_time': 0.48627}
{'epoch': 27, 'train_loss': 0.0242, 'eval_loss': 0.01691, 'scores': {'psnr': 28.5047, 'ssim': 0.47095, 'scc': 0.00495, 'sam': 0.05871}, 'train_time': 8.49185, 'eval_time': 0.48167}
{'epoch': 28, 'train_loss': 0.02206, 'eval_loss': 0.01831, 'scores': {'psnr': 28.45319, 'ssim': 0.46073, 'scc': 0.00574, 'sam': 0.05913}, 'train_time': 8.5145, 'eval_time': 0.47439}
{'epoch': 29, 'train_loss': 0.02314, 'eval_loss': 0.01895, 'scores': {'psnr': 28.49215, 'ssim': 0.461, 'scc': 0.00133, 'sam': 0.05953}, 'train_time': 8.49948, 'eval_time': 0.49463}
{'epoch': 30, 'train_loss': 0.02279, 'eval_loss': 0.0166, 'scores': {'psnr': 28.43587, 'ssim': 0.46889, 'scc': 0.01117, 'sam': 0.05764}, 'train_time': 8.54634, 'eval_time': 0.47363}
{'epoch': 31, 'train_loss': 0.02217, 'eval_loss': 0.0161, 'scores': {'psnr': 28.44051, 'ssim': 0.46129, 'scc': 0.00525, 'sam': 0.05833}, 'train_time': 8.52955, 'eval_time': 0.46973}
{'epoch': 32, 'train_loss': 0.02197, 'eval_loss': 0.01631, 'scores': {'psnr': 28.48148, 'ssim': 0.4639, 'scc': 0.00619, 'sam': 0.05883}, 'train_time': 8.50904, 'eval_time': 0.47259}
