{'epoch': 1, 'train_loss': 0.02005, 'eval_loss': 0.00816, 'scores': {'psnr': 29.03138, 'ssim': 0.52664, 'scc': 0.02082, 'sam': 0.06187}, 'train_time': 5.6581, 'eval_time': 0.54941}
{'epoch': 2, 'train_loss': 0.01134, 'eval_loss': 0.0109, 'scores': {'psnr': 28.24466, 'ssim': 0.57052, 'scc': 0.05093, 'sam': 0.05895}, 'train_time': 5.28403, 'eval_time': 0.51033}
{'epoch': 3, 'train_loss': 0.00964, 'eval_loss': 0.00755, 'scores': {'psnr': 28.77835, 'ssim': 0.59153, 'scc': 0.06129, 'sam': 0.05905}, 'train_time': 5.12831, 'eval_time': 0.51173}
{'epoch': 4, 'train_loss': 0.00896, 'eval_loss': 0.00911, 'scores': {'psnr': 28.4767, 'ssim': 0.6187, 'scc': 0.07933, 'sam': 0.05522}, 'train_time': 5.28034, 'eval_time': 0.50586}
{'epoch': 5, 'train_loss': 0.008, 'eval_loss': 0.00864, 'scores': {'psnr': 28.30014, 'ssim': 0.65036, 'scc': 0.10633, 'sam': 0.05659}, 'train_time': 5.1889, 'eval_time': 0.46985}
{'epoch': 6, 'train_loss': 0.00783, 'eval_loss': 0.00554, 'scores': {'psnr': 29.1728, 'ssim': 0.68692, 'scc': 0.12695, 'sam': 0.05894}, 'train_time': 5.13046, 'eval_time': 0.4955}
{'epoch': 7, 'train_loss': 0.00734, 'eval_loss': 0.00467, 'scores': {'psnr': 29.24956, 'ssim': 0.69829, 'scc': 0.14164, 'sam': 0.05773}, 'train_time': 5.17813, 'eval_time': 0.50023}
{'epoch': 8, 'train_loss': 0.00707, 'eval_loss': 0.00436, 'scores': {'psnr': 29.67726, 'ssim': 0.70726, 'scc': 0.14932, 'sam': 0.05444}, 'train_time': 5.19786, 'eval_time': 0.48319}
{'epoch': 9, 'train_loss': 0.00669, 'eval_loss': 0.00405, 'scores': {'psnr': 29.97347, 'ssim': 0.7242, 'scc': 0.16971, 'sam': 0.05798}, 'train_time': 5.20131, 'eval_time': 0.48184}
{'epoch': 10, 'train_loss': 0.00661, 'eval_loss': 0.00423, 'scores': {'psnr': 29.82803, 'ssim': 0.71042, 'scc': 0.18344, 'sam': 0.05853}, 'train_time': 5.15937, 'eval_time': 0.49199}
{'epoch': 11, 'train_loss': 0.00614, 'eval_loss': 0.01152, 'scores': {'psnr': 28.16117, 'ssim': 0.7201, 'scc': 0.20195, 'sam': 0.05777}, 'train_time': 5.17597, 'eval_time': 0.48503}
{'epoch': 12, 'train_loss': 0.00613, 'eval_loss': 0.01389, 'scores': {'psnr': 28.02584, 'ssim': 0.68906, 'scc': 0.16153, 'sam': 0.0597}, 'train_time': 5.17176, 'eval_time': 0.47872}
{'epoch': 13, 'train_loss': 0.00591, 'eval_loss': 0.00425, 'scores': {'psnr': 29.0789, 'ssim': 0.74916, 'scc': 0.22106, 'sam': 0.05751}, 'train_time': 5.13556, 'eval_time': 0.48588}
{'epoch': 14, 'train_loss': 0.00607, 'eval_loss': 0.00676, 'scores': {'psnr': 28.43486, 'ssim': 0.70957, 'scc': 0.248, 'sam': 0.05416}, 'train_time': 5.13283, 'eval_time': 0.49016}
{'epoch': 15, 'train_loss': 0.00543, 'eval_loss': 0.01053, 'scores': {'psnr': 28.22354, 'ssim': 0.75372, 'scc': 0.24294, 'sam': 0.05846}, 'train_time': 5.11831, 'eval_time': 0.49489}
{'epoch': 16, 'train_loss': 0.0055, 'eval_loss': 0.00478, 'scores': {'psnr': 28.84244, 'ssim': 0.75564, 'scc': 0.26131, 'sam': 0.05373}, 'train_time': 5.12561, 'eval_time': 0.50887}
{'epoch': 17, 'train_loss': 0.0053, 'eval_loss': 0.00324, 'scores': {'psnr': 30.06092, 'ssim': 0.77237, 'scc': 0.26318, 'sam': 0.05388}, 'train_time': 5.15578, 'eval_time': 0.50533}
{'epoch': 18, 'train_loss': 0.00507, 'eval_loss': 0.00316, 'scores': {'psnr': 30.15791, 'ssim': 0.77305, 'scc': 0.26749, 'sam': 0.06039}, 'train_time': 5.23731, 'eval_time': 0.50807}
{'epoch': 19, 'train_loss': 0.0053, 'eval_loss': 0.00423, 'scores': {'psnr': 29.21189, 'ssim': 0.75796, 'scc': 0.23057, 'sam': 0.06287}, 'train_time': 5.26422, 'eval_time': 0.4894}
{'epoch': 20, 'train_loss': 0.00533, 'eval_loss': 0.00319, 'scores': {'psnr': 30.02418, 'ssim': 0.77293, 'scc': 0.27156, 'sam': 0.04542}, 'train_time': 5.18438, 'eval_time': 0.48888}
{'epoch': 21, 'train_loss': 0.00481, 'eval_loss': 0.00694, 'scores': {'psnr': 28.63629, 'ssim': 0.7479, 'scc': 0.26121, 'sam': 0.06751}, 'train_time': 5.19575, 'eval_time': 0.49956}
{'epoch': 22, 'train_loss': 0.00446, 'eval_loss': 0.00345, 'scores': {'psnr': 29.64329, 'ssim': 0.78546, 'scc': 0.2827, 'sam': 0.05335}, 'train_time': 5.14467, 'eval_time': 0.50644}
{'epoch': 23, 'train_loss': 0.00464, 'eval_loss': 0.00388, 'scores': {'psnr': 28.97115, 'ssim': 0.77703, 'scc': 0.28902, 'sam': 0.03709}, 'train_time': 5.20476, 'eval_time': 0.51947}
{'epoch': 24, 'train_loss': 0.00466, 'eval_loss': 0.00297, 'scores': {'psnr': 30.01431, 'ssim': 0.78593, 'scc': 0.29524, 'sam': 0.05025}, 'train_time': 5.19131, 'eval_time': 0.50795}
{'epoch': 25, 'train_loss': 0.00442, 'eval_loss': 0.00412, 'scores': {'psnr': 29.21637, 'ssim': 0.75822, 'scc': 0.28653, 'sam': 0.0692}, 'train_time': 5.19665, 'eval_time': 0.49574}
{'epoch': 26, 'train_loss': 0.00429, 'eval_loss': 0.00261, 'scores': {'psnr': 30.3701, 'ssim': 0.80389, 'scc': 0.3165, 'sam': 0.05149}, 'train_time': 5.21943, 'eval_time': 0.51958}
{'epoch': 27, 'train_loss': 0.00399, 'eval_loss': 0.00232, 'scores': {'psnr': 30.91325, 'ssim': 0.81191, 'scc': 0.33056, 'sam': 0.03612}, 'train_time': 5.19935, 'eval_time': 0.51028}
{'epoch': 28, 'train_loss': 0.00388, 'eval_loss': 0.00261, 'scores': {'psnr': 30.10738, 'ssim': 0.81488, 'scc': 0.34472, 'sam': 0.04682}, 'train_time': 5.1922, 'eval_time': 0.51949}
{'epoch': 29, 'train_loss': 0.0039, 'eval_loss': 0.00247, 'scores': {'psnr': 30.63424, 'ssim': 0.80907, 'scc': 0.34471, 'sam': 0.04119}, 'train_time': 5.19557, 'eval_time': 0.63282}
{'epoch': 30, 'train_loss': 0.00401, 'eval_loss': 0.00339, 'scores': {'psnr': 28.84323, 'ssim': 0.81288, 'scc': 0.35316, 'sam': 0.03845}, 'train_time': 5.15896, 'eval_time': 0.51948}
{'epoch': 31, 'train_loss': 0.00387, 'eval_loss': 0.00286, 'scores': {'psnr': 29.66894, 'ssim': 0.80387, 'scc': 0.33861, 'sam': 0.05608}, 'train_time': 5.14907, 'eval_time': 0.49912}
{'epoch': 32, 'train_loss': 0.00381, 'eval_loss': 0.00234, 'scores': {'psnr': 30.92953, 'ssim': 0.82302, 'scc': 0.36533, 'sam': 0.03693}, 'train_time': 5.22313, 'eval_time': 0.50072}
{'epoch': 33, 'train_loss': 0.00389, 'eval_loss': 0.00272, 'scores': {'psnr': 30.29044, 'ssim': 0.81058, 'scc': 0.33722, 'sam': 0.04379}, 'train_time': 5.13555, 'eval_time': 0.49804}
{'epoch': 34, 'train_loss': 0.00354, 'eval_loss': 0.00255, 'scores': {'psnr': 29.99944, 'ssim': 0.82648, 'scc': 0.37933, 'sam': 0.04092}, 'train_time': 5.1617, 'eval_time': 0.54687}
{'epoch': 35, 'train_loss': 0.00374, 'eval_loss': 0.00304, 'scores': {'psnr': 30.04904, 'ssim': 0.80583, 'scc': 0.34276, 'sam': 0.04046}, 'train_time': 5.15717, 'eval_time': 0.51539}
