{'epoch': 1, 'train_loss': 0.0249, 'eval_loss': 0.00878, 'scores': {'psnr': 28.9867, 'ssim': 0.51152, 'scc': 0.01744, 'sam': 0.06272}, 'train_time': 3.08607, 'eval_time': 0.61969}
{'epoch': 2, 'train_loss': 0.01144, 'eval_loss': 0.01271, 'scores': {'psnr': 28.08023, 'ssim': 0.5692, 'scc': 0.04486, 'sam': 0.06029}, 'train_time': 2.29959, 'eval_time': 0.59599}
{'epoch': 3, 'train_loss': 0.00902, 'eval_loss': 0.01004, 'scores': {'psnr': 28.30047, 'ssim': 0.60716, 'scc': 0.07015, 'sam': 0.06006}, 'train_time': 2.31852, 'eval_time': 0.58237}
{'epoch': 4, 'train_loss': 0.00861, 'eval_loss': 0.00592, 'scores': {'psnr': 29.18937, 'ssim': 0.64537, 'scc': 0.0896, 'sam': 0.05633}, 'train_time': 2.30868, 'eval_time': 0.63788}
{'epoch': 5, 'train_loss': 0.0078, 'eval_loss': 0.00562, 'scores': {'psnr': 28.80342, 'ssim': 0.68576, 'scc': 0.12342, 'sam': 0.05711}, 'train_time': 2.28991, 'eval_time': 0.5863}
{'epoch': 6, 'train_loss': 0.00703, 'eval_loss': 0.00429, 'scores': {'psnr': 29.8811, 'ssim': 0.71081, 'scc': 0.15496, 'sam': 0.05438}, 'train_time': 2.31043, 'eval_time': 0.6651}
{'epoch': 7, 'train_loss': 0.00677, 'eval_loss': 0.00411, 'scores': {'psnr': 29.73703, 'ssim': 0.73347, 'scc': 0.16572, 'sam': 0.05772}, 'train_time': 2.2891, 'eval_time': 0.65614}
{'epoch': 8, 'train_loss': 0.00634, 'eval_loss': 0.00393, 'scores': {'psnr': 29.69415, 'ssim': 0.74425, 'scc': 0.19364, 'sam': 0.05517}, 'train_time': 2.31644, 'eval_time': 0.66845}
{'epoch': 9, 'train_loss': 0.0066, 'eval_loss': 0.0072, 'scores': {'psnr': 28.36813, 'ssim': 0.74093, 'scc': 0.20964, 'sam': 0.05761}, 'train_time': 2.29374, 'eval_time': 0.63817}
{'epoch': 10, 'train_loss': 0.00578, 'eval_loss': 0.00416, 'scores': {'psnr': 29.24704, 'ssim': 0.7523, 'scc': 0.22529, 'sam': 0.05738}, 'train_time': 2.29301, 'eval_time': 0.63673}
{'epoch': 11, 'train_loss': 0.00525, 'eval_loss': 0.00304, 'scores': {'psnr': 30.5059, 'ssim': 0.79144, 'scc': 0.2681, 'sam': 0.05625}, 'train_time': 2.36147, 'eval_time': 0.64187}
{'epoch': 12, 'train_loss': 0.00555, 'eval_loss': 0.00388, 'scores': {'psnr': 29.05228, 'ssim': 0.76984, 'scc': 0.2638, 'sam': 0.05367}, 'train_time': 2.28075, 'eval_time': 0.59835}
{'epoch': 13, 'train_loss': 0.00499, 'eval_loss': 0.00354, 'scores': {'psnr': 29.22745, 'ssim': 0.78704, 'scc': 0.28449, 'sam': 0.05516}, 'train_time': 2.34995, 'eval_time': 0.63439}
{'epoch': 14, 'train_loss': 0.00495, 'eval_loss': 0.00356, 'scores': {'psnr': 29.72337, 'ssim': 0.7958, 'scc': 0.29509, 'sam': 0.05896}, 'train_time': 2.35015, 'eval_time': 0.63919}
{'epoch': 15, 'train_loss': 0.00493, 'eval_loss': 0.00457, 'scores': {'psnr': 28.97517, 'ssim': 0.78203, 'scc': 0.29384, 'sam': 0.05647}, 'train_time': 2.32553, 'eval_time': 0.63163}
{'epoch': 16, 'train_loss': 0.00501, 'eval_loss': 0.0042, 'scores': {'psnr': 28.67952, 'ssim': 0.80435, 'scc': 0.31936, 'sam': 0.05292}, 'train_time': 2.33204, 'eval_time': 0.67833}
{'epoch': 17, 'train_loss': 0.00497, 'eval_loss': 0.00267, 'scores': {'psnr': 30.55887, 'ssim': 0.806, 'scc': 0.31884, 'sam': 0.05859}, 'train_time': 2.38052, 'eval_time': 0.66395}
{'epoch': 18, 'train_loss': 0.00435, 'eval_loss': 0.004, 'scores': {'psnr': 29.10241, 'ssim': 0.78352, 'scc': 0.29962, 'sam': 0.04426}, 'train_time': 2.3922, 'eval_time': 0.60485}
{'epoch': 19, 'train_loss': 0.00419, 'eval_loss': 0.01458, 'scores': {'psnr': 28.24502, 'ssim': 0.74716, 'scc': 0.28819, 'sam': 0.04882}, 'train_time': 2.34841, 'eval_time': 0.63836}
{'epoch': 20, 'train_loss': 0.00424, 'eval_loss': 0.00299, 'scores': {'psnr': 29.85004, 'ssim': 0.80254, 'scc': 0.3021, 'sam': 0.05439}, 'train_time': 2.35704, 'eval_time': 0.67909}
{'epoch': 21, 'train_loss': 0.004, 'eval_loss': 0.00254, 'scores': {'psnr': 30.39559, 'ssim': 0.80994, 'scc': 0.31726, 'sam': 0.04644}, 'train_time': 2.31098, 'eval_time': 0.64845}
{'epoch': 22, 'train_loss': 0.00383, 'eval_loss': 0.00278, 'scores': {'psnr': 29.91329, 'ssim': 0.8016, 'scc': 0.31546, 'sam': 0.05221}, 'train_time': 2.43242, 'eval_time': 0.64434}
{'epoch': 23, 'train_loss': 0.0037, 'eval_loss': 0.00235, 'scores': {'psnr': 30.76583, 'ssim': 0.81949, 'scc': 0.33625, 'sam': 0.03575}, 'train_time': 2.3226, 'eval_time': 0.68494}
{'epoch': 24, 'train_loss': 0.00374, 'eval_loss': 0.00246, 'scores': {'psnr': 30.28342, 'ssim': 0.81573, 'scc': 0.34261, 'sam': 0.04155}, 'train_time': 2.38503, 'eval_time': 0.66951}
{'epoch': 25, 'train_loss': 0.00361, 'eval_loss': 0.00595, 'scores': {'psnr': 28.59908, 'ssim': 0.80194, 'scc': 0.33423, 'sam': 0.0437}, 'train_time': 2.33937, 'eval_time': 0.6283}
{'epoch': 26, 'train_loss': 0.00362, 'eval_loss': 0.00292, 'scores': {'psnr': 29.79378, 'ssim': 0.82307, 'scc': 0.36332, 'sam': 0.05742}, 'train_time': 2.35041, 'eval_time': 0.65909}
{'epoch': 27, 'train_loss': 0.00355, 'eval_loss': 0.00243, 'scores': {'psnr': 30.27206, 'ssim': 0.81522, 'scc': 0.35179, 'sam': 0.04474}, 'train_time': 2.33155, 'eval_time': 0.63775}
{'epoch': 28, 'train_loss': 0.00389, 'eval_loss': 0.00232, 'scores': {'psnr': 30.69134, 'ssim': 0.83623, 'scc': 0.37566, 'sam': 0.04311}, 'train_time': 2.39692, 'eval_time': 0.68803}
{'epoch': 29, 'train_loss': 0.00353, 'eval_loss': 0.00216, 'scores': {'psnr': 30.45306, 'ssim': 0.84242, 'scc': 0.37779, 'sam': 0.03437}, 'train_time': 2.35815, 'eval_time': 0.64678}
{'epoch': 30, 'train_loss': 0.00324, 'eval_loss': 0.00276, 'scores': {'psnr': 29.92153, 'ssim': 0.84076, 'scc': 0.37916, 'sam': 0.04662}, 'train_time': 2.41056, 'eval_time': 0.68014}
{'epoch': 31, 'train_loss': 0.00334, 'eval_loss': 0.00248, 'scores': {'psnr': 29.93073, 'ssim': 0.81964, 'scc': 0.35671, 'sam': 0.05052}, 'train_time': 2.311, 'eval_time': 0.6707}
{'epoch': 32, 'train_loss': 0.00366, 'eval_loss': 0.00213, 'scores': {'psnr': 31.05997, 'ssim': 0.83541, 'scc': 0.34859, 'sam': 0.03885}, 'train_time': 2.33009, 'eval_time': 0.66401}
{'epoch': 33, 'train_loss': 0.0033, 'eval_loss': 0.00188, 'scores': {'psnr': 31.3557, 'ssim': 0.84789, 'scc': 0.38828, 'sam': 0.0345}, 'train_time': 2.36969, 'eval_time': 0.70292}
{'epoch': 34, 'train_loss': 0.00314, 'eval_loss': 0.0021, 'scores': {'psnr': 30.59021, 'ssim': 0.8473, 'scc': 0.38572, 'sam': 0.03484}, 'train_time': 2.36851, 'eval_time': 0.70141}
{'epoch': 35, 'train_loss': 0.00348, 'eval_loss': 0.00188, 'scores': {'psnr': 31.37864, 'ssim': 0.84725, 'scc': 0.39515, 'sam': 0.03182}, 'train_time': 2.38644, 'eval_time': 0.70905}
{'epoch': 36, 'train_loss': 0.00346, 'eval_loss': 0.00328, 'scores': {'psnr': 29.49622, 'ssim': 0.79831, 'scc': 0.36904, 'sam': 0.05091}, 'train_time': 2.46823, 'eval_time': 0.62188}
{'epoch': 37, 'train_loss': 0.00352, 'eval_loss': 0.00451, 'scores': {'psnr': 29.34835, 'ssim': 0.83435, 'scc': 0.38254, 'sam': 0.04748}, 'train_time': 2.37099, 'eval_time': 0.66014}
{'epoch': 38, 'train_loss': 0.0032, 'eval_loss': 0.00213, 'scores': {'psnr': 30.79228, 'ssim': 0.82666, 'scc': 0.36984, 'sam': 0.03563}, 'train_time': 2.36304, 'eval_time': 0.67819}
{'epoch': 39, 'train_loss': 0.00311, 'eval_loss': 0.00351, 'scores': {'psnr': 29.09947, 'ssim': 0.83145, 'scc': 0.37849, 'sam': 0.04119}, 'train_time': 2.39441, 'eval_time': 0.65665}
{'epoch': 40, 'train_loss': 0.00314, 'eval_loss': 0.00252, 'scores': {'psnr': 29.82828, 'ssim': 0.84623, 'scc': 0.39872, 'sam': 0.038}, 'train_time': 2.34746, 'eval_time': 0.66591}
{'epoch': 41, 'train_loss': 0.00307, 'eval_loss': 0.00227, 'scores': {'psnr': 30.32499, 'ssim': 0.84701, 'scc': 0.39714, 'sam': 0.04974}, 'train_time': 2.35932, 'eval_time': 0.65822}
{'epoch': 42, 'train_loss': 0.00294, 'eval_loss': 0.00243, 'scores': {'psnr': 30.14049, 'ssim': 0.83947, 'scc': 0.37918, 'sam': 0.05131}, 'train_time': 2.45483, 'eval_time': 0.6749}
{'epoch': 43, 'train_loss': 0.00304, 'eval_loss': 0.00364, 'scores': {'psnr': 29.0163, 'ssim': 0.84137, 'scc': 0.40128, 'sam': 0.06489}, 'train_time': 2.40487, 'eval_time': 0.6796}
