{'epoch': 1, 'train_loss': 0.02804, 'eval_loss': 0.01003, 'scores': {'psnr': 28.53683, 'ssim': 0.47953, 'scc': 0.01097, 'sam': 0.05844}, 'train_time': 6.85405, 'eval_time': 0.509}
{'epoch': 2, 'train_loss': 0.01179, 'eval_loss': 0.01024, 'scores': {'psnr': 28.30799, 'ssim': 0.57545, 'scc': 0.05309, 'sam': 0.0583}, 'train_time': 6.39859, 'eval_time': 0.53449}
{'epoch': 3, 'train_loss': 0.00921, 'eval_loss': 0.01055, 'scores': {'psnr': 28.28108, 'ssim': 0.59499, 'scc': 0.07022, 'sam': 0.05847}, 'train_time': 6.38438, 'eval_time': 0.4972}
{'epoch': 4, 'train_loss': 0.00891, 'eval_loss': 0.00529, 'scores': {'psnr': 29.70056, 'ssim': 0.65436, 'scc': 0.08825, 'sam': 0.05797}, 'train_time': 6.39361, 'eval_time': 0.51607}
{'epoch': 5, 'train_loss': 0.00798, 'eval_loss': 0.00496, 'scores': {'psnr': 29.72479, 'ssim': 0.68736, 'scc': 0.11196, 'sam': 0.05852}, 'train_time': 6.39889, 'eval_time': 0.50164}
{'epoch': 6, 'train_loss': 0.00703, 'eval_loss': 0.00554, 'scores': {'psnr': 28.89419, 'ssim': 0.6888, 'scc': 0.14315, 'sam': 0.05669}, 'train_time': 6.41376, 'eval_time': 0.5126}
{'epoch': 7, 'train_loss': 0.00681, 'eval_loss': 0.00413, 'scores': {'psnr': 29.98407, 'ssim': 0.72593, 'scc': 0.15735, 'sam': 0.05866}, 'train_time': 6.40063, 'eval_time': 0.52749}
{'epoch': 8, 'train_loss': 0.00631, 'eval_loss': 0.0036, 'scores': {'psnr': 30.22501, 'ssim': 0.74666, 'scc': 0.20689, 'sam': 0.05482}, 'train_time': 6.43573, 'eval_time': 0.50683}
{'epoch': 9, 'train_loss': 0.00648, 'eval_loss': 0.00619, 'scores': {'psnr': 28.53777, 'ssim': 0.72012, 'scc': 0.18799, 'sam': 0.05596}, 'train_time': 6.42408, 'eval_time': 0.51181}
{'epoch': 10, 'train_loss': 0.00582, 'eval_loss': 0.00889, 'scores': {'psnr': 28.41089, 'ssim': 0.74972, 'scc': 0.20897, 'sam': 0.05871}, 'train_time': 6.41336, 'eval_time': 0.50533}
{'epoch': 11, 'train_loss': 0.00534, 'eval_loss': 0.00329, 'scores': {'psnr': 29.85077, 'ssim': 0.78875, 'scc': 0.25852, 'sam': 0.05747}, 'train_time': 6.41278, 'eval_time': 0.52808}
{'epoch': 12, 'train_loss': 0.00562, 'eval_loss': 0.00463, 'scores': {'psnr': 28.7652, 'ssim': 0.75396, 'scc': 0.24123, 'sam': 0.05392}, 'train_time': 6.42462, 'eval_time': 0.53211}
{'epoch': 13, 'train_loss': 0.00509, 'eval_loss': 0.00388, 'scores': {'psnr': 28.95434, 'ssim': 0.79123, 'scc': 0.28183, 'sam': 0.05541}, 'train_time': 6.41658, 'eval_time': 0.51156}
{'epoch': 14, 'train_loss': 0.00503, 'eval_loss': 0.00432, 'scores': {'psnr': 29.42411, 'ssim': 0.77665, 'scc': 0.25891, 'sam': 0.06026}, 'train_time': 6.4279, 'eval_time': 0.52257}
{'epoch': 15, 'train_loss': 0.0049, 'eval_loss': 0.00497, 'scores': {'psnr': 29.07863, 'ssim': 0.76462, 'scc': 0.24673, 'sam': 0.06406}, 'train_time': 6.42, 'eval_time': 0.52654}
{'epoch': 16, 'train_loss': 0.0048, 'eval_loss': 0.00359, 'scores': {'psnr': 28.83228, 'ssim': 0.8099, 'scc': 0.31022, 'sam': 0.03967}, 'train_time': 6.41225, 'eval_time': 0.51794}
{'epoch': 17, 'train_loss': 0.00465, 'eval_loss': 0.00291, 'scores': {'psnr': 30.49545, 'ssim': 0.80488, 'scc': 0.31311, 'sam': 0.0395}, 'train_time': 6.42341, 'eval_time': 0.52003}
{'epoch': 18, 'train_loss': 0.00402, 'eval_loss': 0.00382, 'scores': {'psnr': 29.11335, 'ssim': 0.81419, 'scc': 0.3382, 'sam': 0.03833}, 'train_time': 6.41523, 'eval_time': 0.51366}
{'epoch': 19, 'train_loss': 0.00406, 'eval_loss': 0.00441, 'scores': {'psnr': 28.82829, 'ssim': 0.80926, 'scc': 0.3329, 'sam': 0.05098}, 'train_time': 6.41803, 'eval_time': 0.54018}
{'epoch': 20, 'train_loss': 0.00418, 'eval_loss': 0.00298, 'scores': {'psnr': 29.46178, 'ssim': 0.80183, 'scc': 0.30126, 'sam': 0.0407}, 'train_time': 6.44323, 'eval_time': 0.5175}
{'epoch': 21, 'train_loss': 0.00391, 'eval_loss': 0.00218, 'scores': {'psnr': 31.08052, 'ssim': 0.81557, 'scc': 0.32863, 'sam': 0.03534}, 'train_time': 6.4231, 'eval_time': 0.51733}
{'epoch': 22, 'train_loss': 0.00375, 'eval_loss': 0.00257, 'scores': {'psnr': 29.82102, 'ssim': 0.81671, 'scc': 0.32916, 'sam': 0.03541}, 'train_time': 6.43151, 'eval_time': 0.52881}
{'epoch': 23, 'train_loss': 0.00364, 'eval_loss': 0.00245, 'scores': {'psnr': 30.11577, 'ssim': 0.82571, 'scc': 0.34638, 'sam': 0.0365}, 'train_time': 6.43402, 'eval_time': 0.52235}
{'epoch': 24, 'train_loss': 0.00362, 'eval_loss': 0.00272, 'scores': {'psnr': 29.56738, 'ssim': 0.81984, 'scc': 0.35168, 'sam': 0.03722}, 'train_time': 6.42735, 'eval_time': 0.53281}
{'epoch': 25, 'train_loss': 0.00349, 'eval_loss': 0.0031, 'scores': {'psnr': 29.25397, 'ssim': 0.83661, 'scc': 0.36576, 'sam': 0.03355}, 'train_time': 6.41565, 'eval_time': 0.53376}
{'epoch': 26, 'train_loss': 0.00354, 'eval_loss': 0.00208, 'scores': {'psnr': 31.25591, 'ssim': 0.83422, 'scc': 0.36857, 'sam': 0.03284}, 'train_time': 6.43537, 'eval_time': 0.52162}
{'epoch': 27, 'train_loss': 0.00345, 'eval_loss': 0.00233, 'scores': {'psnr': 30.37209, 'ssim': 0.82685, 'scc': 0.35578, 'sam': 0.04028}, 'train_time': 6.42695, 'eval_time': 0.53661}
{'epoch': 28, 'train_loss': 0.00388, 'eval_loss': 0.00204, 'scores': {'psnr': 31.21311, 'ssim': 0.83616, 'scc': 0.34868, 'sam': 0.03516}, 'train_time': 6.42694, 'eval_time': 0.56089}
{'epoch': 29, 'train_loss': 0.00353, 'eval_loss': 0.00203, 'scores': {'psnr': 30.90098, 'ssim': 0.83472, 'scc': 0.35364, 'sam': 0.03791}, 'train_time': 6.41459, 'eval_time': 0.53152}
{'epoch': 30, 'train_loss': 0.00321, 'eval_loss': 0.00208, 'scores': {'psnr': 30.78925, 'ssim': 0.84457, 'scc': 0.39198, 'sam': 0.03956}, 'train_time': 6.42849, 'eval_time': 0.52925}
{'epoch': 31, 'train_loss': 0.00335, 'eval_loss': 0.00241, 'scores': {'psnr': 30.2306, 'ssim': 0.82771, 'scc': 0.3579, 'sam': 0.0486}, 'train_time': 6.44112, 'eval_time': 0.55146}
{'epoch': 32, 'train_loss': 0.0036, 'eval_loss': 0.00282, 'scores': {'psnr': 30.07437, 'ssim': 0.81984, 'scc': 0.36196, 'sam': 0.04827}, 'train_time': 6.42363, 'eval_time': 0.53012}
{'epoch': 33, 'train_loss': 0.0033, 'eval_loss': 0.00207, 'scores': {'psnr': 30.69839, 'ssim': 0.83406, 'scc': 0.38005, 'sam': 0.04064}, 'train_time': 6.43712, 'eval_time': 0.51632}
{'epoch': 34, 'train_loss': 0.00317, 'eval_loss': 0.00202, 'scores': {'psnr': 31.0716, 'ssim': 0.84192, 'scc': 0.36733, 'sam': 0.03743}, 'train_time': 6.44586, 'eval_time': 0.53724}
{'epoch': 35, 'train_loss': 0.00348, 'eval_loss': 0.00187, 'scores': {'psnr': 31.43739, 'ssim': 0.84551, 'scc': 0.40082, 'sam': 0.03287}, 'train_time': 6.42671, 'eval_time': 0.5344}
{'epoch': 36, 'train_loss': 0.00348, 'eval_loss': 0.00228, 'scores': {'psnr': 30.40629, 'ssim': 0.83726, 'scc': 0.38754, 'sam': 0.03716}, 'train_time': 6.43595, 'eval_time': 0.51599}
{'epoch': 37, 'train_loss': 0.00358, 'eval_loss': 0.00359, 'scores': {'psnr': 29.16886, 'ssim': 0.81646, 'scc': 0.37056, 'sam': 0.061}, 'train_time': 6.43849, 'eval_time': 0.52797}
{'epoch': 38, 'train_loss': 0.00321, 'eval_loss': 0.00211, 'scores': {'psnr': 30.96779, 'ssim': 0.83697, 'scc': 0.39687, 'sam': 0.03615}, 'train_time': 6.42749, 'eval_time': 0.56631}
{'epoch': 39, 'train_loss': 0.00317, 'eval_loss': 0.00253, 'scores': {'psnr': 30.26621, 'ssim': 0.84101, 'scc': 0.39343, 'sam': 0.04723}, 'train_time': 6.4433, 'eval_time': 0.53465}
{'epoch': 40, 'train_loss': 0.00318, 'eval_loss': 0.00264, 'scores': {'psnr': 29.681, 'ssim': 0.84516, 'scc': 0.39802, 'sam': 0.04801}, 'train_time': 6.43808, 'eval_time': 0.53627}
